image,algorithm,backend,original_class,original_class_name,decision_class,decision_class_name,decision_score,decision_function,decision_threshold,perturbation_l2,perturbation_threshold,perturbation_area,successful,elapsed_seconds,iterations,converged,message
1.png,text_reverse_greedy,manual,817,sports car,511,convertible,13.886773109436035,0.9089317321777344,0.1,39.63748550415039,,2020,True,0.5460456999935559,2020,True,accepted after 5 deletion checks
2.png,text_reverse_greedy,manual,896,washbasin,578,gown,10.372628211975098,7.455440998077393,0.1,56.085235595703125,,2020,True,0.6583163999966928,2020,True,accepted after 5 deletion checks
3.png,text_reverse_greedy,manual,906,Windsor tie,457,bow tie,9.084956169128418,1.7437968254089355,0.1,34.492164611816406,,2020,True,0.32895640000060666,2020,True,accepted after 5 deletion checks
4.png,text_reverse_greedy,manual,985,daisy,868,tray,14.042171478271484,2.0208396911621094,0.1,49.494937896728516,,2020,True,0.7860137000025134,2020,True,accepted after 5 deletion checks
