image,algorithm,backend,original_class,original_class_name,decision_class,decision_class_name,decision_score,decision_function,decision_threshold,perturbation_l2,perturbation_threshold,perturbation_area,successful,elapsed_seconds,iterations,converged,message
1.png,analytic_first_order,manual,817,sports car,511,convertible,13.889453887939453,7.428667068481445,,3.824326753616333,4.0,,True,0.10809240000526188,1,True,first-order Lagrange satisfactory solution
2.png,analytic_first_order,manual,896,washbasin,700,paper towel,11.788749694824219,9.232748031616211,,4.0,4.0,,True,0.030416300003707875,1,True,first-order Lagrange satisfactory solution
3.png,analytic_first_order,manual,906,Windsor tie,982,groom,8.518052101135254,7.958491325378418,,3.9994373321533203,4.0,,True,0.02604060000157915,1,True,first-order Lagrange satisfactory solution
4.png,analytic_first_order,manual,985,daisy,591,handkerchief,19.23460578918457,12.572108268737793,,4.0,4.0,,True,0.03151140000409214,1,True,first-order Lagrange satisfactory solution
